variant,intensity,target,n_seeds,rescue_mean,rescue_sd,positive_seeds,anchor_mae,corrected_mae,nn_delta_mae,abs_gain_vs_xgb_diff,pct_gain_vs_xgb_diff,nominal_anchor_mae,nominal_final_mae,nominal_penalty_rel,overall_anchor_mae,overall_final_mae,overall_abs_gain,overall_pct_gain,gate_applied_rate,safety_pass_rate,rescue_ci_lo,rescue_ci_hi,ci_method
No Attention,0.15,electric conductivity,5,0.0,0.0,0,16.44114334304905,16.44114334304905,16.44114334304905,0.0,0.0,2.5417948444678755,2.5417948444678755,0.0,16.312445671765893,16.312445671765893,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No Attention,0.15,ph,5,0.0,0.0,0,0.5849868839379386,0.5849868839379386,0.5849868839379386,0.0,0.0,0.07422739695758121,0.07422739695758121,0.0,0.5802576294288613,0.5802576294288613,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No Attention,0.15,temperature,5,0.06515040010550828,0.145680723397226,1,1.6902684176694371,1.5795909990202543,1.5795909990202543,0.11067741864918265,6.515040010550829,0.0498087007551255,0.0498087007551255,0.0,1.6750789758461564,1.5654263481103923,0.1096526277357642,6.512198215019725,0.2,0.2,-0.11573610936910834,0.24603690958012492,"two-sided Student-t, df=n_seeds-1"
No Attention,0.2,dissolved oxygen,5,0.0,0.0,0,0.6137926780658777,0.6137926780658777,0.6137926780658777,0.0,0.0,0.05501096639782188,0.05501096639782188,0.0,0.6086187733282105,0.6086187733282105,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No Attention,0.2,electric conductivity,5,0.06269966178056105,0.14020070590758002,1,23.17005392219017,21.699244850007652,21.699244850007652,1.4708090721825187,6.269966178056107,1.1582048922773822,1.1582048922773822,0.0,22.96624050524653,21.509050035584224,1.4571904696623093,6.266019849525784,0.2,0.2,-0.11138250726763513,0.23678183082875723,"two-sided Student-t, df=n_seeds-1"
No Attention,0.2,ph,5,0.05837296650357578,0.08836995472186497,2,0.7958471537957175,0.7494653810971601,0.7494653810971601,0.04638177269855726,5.8372966503575805,0.10378135141606956,0.10378135141606956,0.0,0.7894391371070171,0.7434868252667798,0.045952311840237306,5.830544141245093,0.4,0.4,-0.051352824797460894,0.16809875780461245,"two-sided Student-t, df=n_seeds-1"
No Attention,0.2,temperature,5,0.00854464574842782,0.019106408737139174,1,2.2658672024667,2.2466649942819497,2.2466649942819497,0.019202208184750262,0.8544645748427838,0.057917301356754734,0.057917301356754734,0.0,2.245423221900867,2.22639881194005,0.0190244099608174,0.8540991797027516,0.2,0.2,-0.015179094115443777,0.032268385612299416,"two-sided Student-t, df=n_seeds-1"
No Attention,0.25,dissolved oxygen,5,0.0,0.0,0,0.6542956244826671,0.6542956244826671,0.6542956244826671,0.0,0.0,0.03122904952615494,0.03122904952615494,0.0,0.6485264895293661,0.6485264895293661,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No Attention,0.25,electric conductivity,5,0.0,0.0,0,28.789379383381437,28.789379383381437,28.789379383381437,0.0,0.0,1.517518246670005,1.517518246670005,0.0,28.536862150634107,28.536862150634107,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No Attention,0.25,ph,5,0.06916103881553307,0.15464878418603345,1,1.0173323885476901,0.9529412126663818,0.9529412126663818,0.06439117588130819,6.9161038815533065,0.09036575305897328,0.09036575305897328,0.0,1.008749364145017,0.9449544028552023,0.06379496128981457,6.9103630067024415,0.2,0.2,-0.12286078887424867,0.2611828665053148,"two-sided Student-t, df=n_seeds-1"
No Attention,0.25,temperature,5,0.0,0.0,0,2.725576976793045,2.725576976793045,2.725576976793045,0.0,0.0,0.02350969389069698,0.02350969389069698,0.0,2.70055783528469,2.70055783528469,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No CNN,0.1,dissolved oxygen,5,0.0,0.0,0,0.5430705659465186,0.5430705659465186,0.5430705659465186,0.0,0.0,0.0753982036374509,0.0753982036374509,0.0,0.5387402662955086,0.5387402662955086,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
